11:29:08.248 [main] INFO  net.lomibao.nes.components.CPU6502 - 86,56,LSR,ZeroPage;X,Logical Shift Right,2,6,ZPX
11:29:08.249 [main] INFO  net.lomibao.nes.components.CPU6502 - 87,57,???,???,???,1,6,IMP
11:29:08.249 [main] INFO  net.lomibao.nes.components.CPU6502 - 88,58,CLI,Implied,Clear Interrupt Disable,1,2,IMP
11:29:08.249 [main] INFO  net.lomibao.nes.components.CPU6502 - 89,59,EOR,Absolute;Y,Exclusive OR,3,4,ABY
11:29:08.249 [main] INFO  net.lomibao.nes.components.CPU6502 - 90,5A,???,???,???,1,2,IMP
11:29:08.249 [main] INFO  net.lomibao.nes.components.CPU6502 - 91,5B,???,???,???,1,7,IMP
11:29:08.250 [main] INFO  net.lomibao.nes.components.CPU6502 - 92,5C,???,???,???,1,4,IMP
11:29:08.250 [main] INFO  net.lomibao.nes.components.CPU6502 - 93,5D,EOR,Absolute;X,Exclusive OR,3,4,ABX
11:29:08.250 [main] INFO  net.lomibao.nes.components.CPU6502 - 94,5E,LSR,Absolute;X,Logical Shift Right,3,7,ABX
11:29:08.250 [main] INFO  net.lomibao.nes.components.CPU6502 - 95,5F,???,???,???,1,7,IMP
11:29:08.250 [main] INFO  net.lomibao.nes.components.CPU6502 - 96,60,RTS,Implied,Return from Subroutine,1,6,IMP
11:29:08.251 [main] INFO  net.lomibao.nes.components.CPU6502 - 97,61,ADC,(Indirect;X),Add with Carry,2,6,IZX
11:29:08.251 [main] INFO  net.lomibao.nes.components.CPU6502 - 98,62,???,???,???,1,2,IMP
11:29:08.251 [main] INFO  net.lomibao.nes.components.CPU6502 - 99,63,???,???,???,1,8,IMP
11:29:08.251 [main] INFO  net.lomibao.nes.components.CPU6502 - 100,64,???,???,???,1,3,IMP
11:29:08.251 [main] INFO  net.lomibao.nes.components.CPU6502 - 101,65,ADC,ZeroPage,Add with Carry,2,3,ZP0
11:29:08.252 [main] INFO  net.lomibao.nes.components.CPU6502 - 102,66,ROR,ZeroPage,Rotate Right,2,5,ZP0
11:29:08.252 [main] INFO  net.lomibao.nes.components.CPU6502 - 103,67,???,???,???,1,5,IMP
11:29:08.252 [main] INFO  net.lomibao.nes.components.CPU6502 - 104,68,PLA,Implied,Pull Accumulator,1,4,IMP
11:29:08.252 [main] INFO  net.lomibao.nes.components.CPU6502 - 105,69,ADC,Immediate,Add with Carry,2,2,IMM
11:29:08.252 [main] INFO  net.lomibao.nes.components.CPU6502 - 106,6A,ROR,Accumulator,Rotate Right,1,2,IMP
11:29:08.252 [main] INFO  net.lomibao.nes.components.CPU6502 - 107,6B,???,???,???,1,2,IMP
11:29:08.253 [main] INFO  net.lomibao.nes.components.CPU6502 - 108,6C,JMP,Indirect ,Jump,3,5,IND
11:29:08.253 [main] INFO  net.lomibao.nes.components.CPU6502 - 109,6D,ADC,Absolute,Add with Carry,3,4,ABS
11:29:08.253 [main] INFO  net.lomibao.nes.components.CPU6502 - 110,6E,ROR,Absolute,Rotate Right,3,6,ABS
11:29:08.253 [main] INFO  net.lomibao.nes.components.CPU6502 - 111,6F,???,???,???,1,6,IMP
11:29:08.253 [main] INFO  net.lomibao.nes.components.CPU6502 - 112,70,BVS,Relative,Branch if Overflow Set,2,2,REL
11:29:08.253 [main] INFO  net.lomibao.nes.components.CPU6502 - 113,71,ADC,(Indirect);Y,Add with Carry,2,5,IZY
11:29:08.254 [main] INFO  net.lomibao.nes.components.CPU6502 - 114,72,???,???,???,1,2,IMP
11:29:08.254 [main] INFO  net.lomibao.nes.components.CPU6502 - 115,73,???,???,???,1,8,IMP
11:29:08.254 [main] INFO  net.lomibao.nes.components.CPU6502 - 116,74,???,???,???,1,4,IMP
11:29:08.254 [main] INFO  net.lomibao.nes.components.CPU6502 - 117,75,ADC,ZeroPage;X,Add with Carry,2,4,ZPX
11:29:08.255 [main] INFO  net.lomibao.nes.components.CPU6502 - 118,76,ROR,ZeroPage;X,Rotate Right,2,6,ZPX
11:29:08.255 [main] INFO  net.lomibao.nes.components.CPU6502 - 119,77,???,???,???,1,6,IMP
11:29:08.255 [main] INFO  net.lomibao.nes.components.CPU6502 - 120,78,SEI,Implied,Set Interrupt Disable,1,2,IMP
11:29:08.255 [main] INFO  net.lomibao.nes.components.CPU6502 - 121,79,ADC,Absolute;Y,Add with Carry,3,4,ABY
11:29:08.256 [main] INFO  net.lomibao.nes.components.CPU6502 - 122,7A,???,???,???,1,2,IMP
11:29:08.256 [main] INFO  net.lomibao.nes.components.CPU6502 - 123,7B,???,???,???,1,7,IMP
11:29:08.256 [main] INFO  net.lomibao.nes.components.CPU6502 - 124,7C,???,???,???,1,4,IMP
11:29:08.256 [main] INFO  net.lomibao.nes.components.CPU6502 - 125,7D,ADC,Absolute;X,Add with Carry,3,4,ABX
11:29:08.257 [main] INFO  net.lomibao.nes.components.CPU6502 - 126,7E,ROR,Absolute;X,Rotate Right,3,7,ABX
11:29:08.258 [main] INFO  net.lomibao.nes.components.CPU6502 - 127,7F,???,???,???,1,7,IMP
11:29:08.258 [main] INFO  net.lomibao.nes.components.CPU6502 - 128,80,???,???,???,1,2,IMP
11:29:08.258 [main] INFO  net.lomibao.nes.components.CPU6502 - 129,81,STA,(Indirect;X),Store Accumulator,2,6,IZX
11:29:08.258 [main] INFO  net.lomibao.nes.components.CPU6502 - 130,82,???,???,???,1,2,IMP
11:29:08.259 [main] INFO  net.lomibao.nes.components.CPU6502 - 131,83,???,???,???,1,6,IMP
11:29:08.259 [main] INFO  net.lomibao.nes.components.CPU6502 - 132,84,STY,ZeroPage,Store Y Register,2,3,ZP0
11:29:08.259 [main] INFO  net.lomibao.nes.components.CPU6502 - 133,85,STA,ZeroPage,Store Accumulator,2,3,ZP0
11:29:08.259 [main] INFO  net.lomibao.nes.components.CPU6502 - 134,86,STX,ZeroPage,Store X Register,2,3,ZP0
11:29:08.259 [main] INFO  net.lomibao.nes.components.CPU6502 - 135,87,???,???,???,1,3,IMP
11:29:08.259 [main] INFO  net.lomibao.nes.components.CPU6502 - 136,88,DEY,Implied,Decrement Y Register,1,2,IMP
11:29:08.260 [main] INFO  net.lomibao.nes.components.CPU6502 - 137,89,???,???,???,1,2,IMP
11:29:08.260 [main] INFO  net.lomibao.nes.components.CPU6502 - 138,8A,TXA,Implied,Transfer X to Accumulator,1,2,IMP
11:29:08.260 [main] INFO  net.lomibao.nes.components.CPU6502 - 139,8B,???,???,???,1,2,IMP
11:29:08.260 [main] INFO  net.lomibao.nes.components.CPU6502 - 140,8C,STY,Absolute,Store Y Register,3,4,ABS
11:29:08.260 [main] INFO  net.lomibao.nes.components.CPU6502 - 141,8D,STA,Absolute,Store Accumulator,3,4,ABS
11:29:08.261 [main] INFO  net.lomibao.nes.components.CPU6502 - 142,8E,STX,Absolute,Store X Register,3,4,ABS
11:29:08.261 [main] INFO  net.lomibao.nes.components.CPU6502 - 143,8F,???,???,???,1,4,IMP
11:29:08.261 [main] INFO  net.lomibao.nes.components.CPU6502 - 144,90,BCC,Relative,Branch if Carry Clear,2,2,REL
11:29:08.261 [main] INFO  net.lomibao.nes.components.CPU6502 - 145,91,STA,(Indirect);Y,Store Accumulator,2,6,IZY
11:29:08.261 [main] INFO  net.lomibao.nes.components.CPU6502 - 146,92,???,???,???,1,2,IMP
11:29:08.261 [main] INFO  net.lomibao.nes.components.CPU6502 - 147,93,???,???,???,1,6,IMP
11:29:08.262 [main] INFO  net.lomibao.nes.components.CPU6502 - 148,94,STY,ZeroPage;X,Store Y Register,2,4,ZPX
11:29:08.262 [main] INFO  net.lomibao.nes.components.CPU6502 - 149,95,STA,ZeroPage;X,Store Accumulator,2,4,ZPX
11:29:08.262 [main] INFO  net.lomibao.nes.components.CPU6502 - 150,96,STX,ZeroPage;Y,Store X Register,2,4,ZPY
11:29:08.262 [main] INFO  net.lomibao.nes.components.CPU6502 - 151,97,???,???,???,1,4,IMP
11:29:08.262 [main] INFO  net.lomibao.nes.components.CPU6502 - 152,98,TYA,Implied,Transfer Y to Accumulator,1,2,IMP
11:29:08.263 [main] INFO  net.lomibao.nes.components.CPU6502 - 153,99,STA,Absolute;Y,Store Accumulator,3,5,ABY
11:29:08.263 [main] INFO  net.lomibao.nes.components.CPU6502 - 154,9A,TXS,Implied,Transfer X to Stack Pointer,1,2,IMP
11:29:08.263 [main] INFO  net.lomibao.nes.components.CPU6502 - 155,9B,???,???,???,1,5,IMP
11:29:08.263 [main] INFO  net.lomibao.nes.components.CPU6502 - 156,9C,???,???,???,1,5,IMP
11:29:08.263 [main] INFO  net.lomibao.nes.components.CPU6502 - 157,9D,STA,Absolute;X,Store Accumulator,3,5,ABX
11:29:08.263 [main] INFO  net.lomibao.nes.components.CPU6502 - 158,9E,???,???,???,1,5,IMP
11:29:08.264 [main] INFO  net.lomibao.nes.components.CPU6502 - 159,9F,???,???,???,1,5,IMP
11:29:08.264 [main] INFO  net.lomibao.nes.components.CPU6502 - 160,A0,LDY,Immediate,Load Y Register,2,2,IMM
11:29:08.264 [main] INFO  net.lomibao.nes.components.CPU6502 - 161,A1,LDA,(Indirect;X),Load Accumulator,2,6,IZX
11:29:08.264 [main] INFO  net.lomibao.nes.components.CPU6502 - 162,A2,LDX,Immediate,Load X Register,2,2,IMM
11:29:08.264 [main] INFO  net.lomibao.nes.components.CPU6502 - 163,A3,???,???,???,1,6,IMP
11:29:08.265 [main] INFO  net.lomibao.nes.components.CPU6502 - 164,A4,LDY,ZeroPage,Load Y Register,2,3,ZP0
11:29:08.265 [main] INFO  net.lomibao.nes.components.CPU6502 - 165,A5,LDA,ZeroPage,Load Accumulator,2,3,ZP0
11:29:08.265 [main] INFO  net.lomibao.nes.components.CPU6502 - 166,A6,LDX,ZeroPage,Load X Register,2,3,ZP0
11:29:08.265 [main] INFO  net.lomibao.nes.components.CPU6502 - 167,A7,???,???,???,1,3,IMP
11:29:08.265 [main] INFO  net.lomibao.nes.components.CPU6502 - 168,A8,TAY,Implied,Transfer Accumulator to Y,1,2,IMP
11:29:08.266 [main] INFO  net.lomibao.nes.components.CPU6502 - 169,A9,LDA,Immediate,Load Accumulator,2,2,IMM
11:29:08.266 [main] INFO  net.lomibao.nes.components.CPU6502 - 170,AA,TAX,Implied,Transfer Accumulator to X,1,2,IMP
11:29:08.266 [main] INFO  net.lomibao.nes.components.CPU6502 - 171,AB,???,???,???,1,2,IMP
11:29:08.266 [main] INFO  net.lomibao.nes.components.CPU6502 - 172,AC,LDY,Absolute,Load Y Register,3,4,ABS
11:29:08.266 [main] INFO  net.lomibao.nes.components.CPU6502 - 173,AD,LDA,Absolute,Load Accumulator,3,4,ABS
11:29:08.266 [main] INFO  net.lomibao.nes.components.CPU6502 - 174,AE,LDX,Absolute,Load X Register,3,4,ABS
11:29:08.267 [main] INFO  net.lomibao.nes.components.CPU6502 - 175,AF,???,???,???,1,4,IMP
11:29:08.267 [main] INFO  net.lomibao.nes.components.CPU6502 - 176,B0,BCS,Relative,Branch if Carry Set,2,2,REL
11:29:08.267 [main] INFO  net.lomibao.nes.components.CPU6502 - 177,B1,LDA,(Indirect);Y,Load Accumulator,2,5,IZY
11:29:08.267 [main] INFO  net.lomibao.nes.components.CPU6502 - 178,B2,???,???,???,1,2,IMP
11:29:08.267 [main] INFO  net.lomibao.nes.components.CPU6502 - 179,B3,???,???,???,1,5,IMP
11:29:08.267 [main] INFO  net.lomibao.nes.components.CPU6502 - 180,B4,LDY,ZeroPage;X,Load Y Register,2,4,ZPX
11:29:08.268 [main] INFO  net.lomibao.nes.components.CPU6502 - 181,B5,LDA,ZeroPage;X,Load Accumulator,2,4,ZPX
11:29:08.268 [main] INFO  net.lomibao.nes.components.CPU6502 - 182,B6,LDX,ZeroPage;Y,Load X Register,2,4,ZPY
11:29:08.268 [main] INFO  net.lomibao.nes.components.CPU6502 - 183,B7,???,???,???,1,4,IMP
11:29:08.268 [main] INFO  net.lomibao.nes.components.CPU6502 - 184,B8,CLV,Implied,Clear Overflow Flag,1,2,IMP
11:29:08.268 [main] INFO  net.lomibao.nes.components.CPU6502 - 185,B9,LDA,Absolute;Y,Load Accumulator,3,4,ABY
11:29:08.269 [main] INFO  net.lomibao.nes.components.CPU6502 - 186,BA,TSX,Implied,Transfer Stack Pointer to X,1,2,IMP
11:29:08.269 [main] INFO  net.lomibao.nes.components.CPU6502 - 187,BB,???,???,???,1,4,IMP
11:29:08.269 [main] INFO  net.lomibao.nes.components.CPU6502 - 188,BC,LDY,Absolute;X,Load Y Register,3,4,ABX
11:29:08.269 [main] INFO  net.lomibao.nes.components.CPU6502 - 189,BD,LDA,Absolute;X,Load Accumulator,3,4,ABX
11:29:08.269 [main] INFO  net.lomibao.nes.components.CPU6502 - 190,BE,LDX,Absolute;Y,Load X Register,3,4,ABY
11:29:08.269 [main] INFO  net.lomibao.nes.components.CPU6502 - 191,BF,???,???,???,1,4,IMP
11:29:08.270 [main] INFO  net.lomibao.nes.components.CPU6502 - 192,C0,CPY,Immediate,Compare Y Register,2,2,IMM
11:29:08.270 [main] INFO  net.lomibao.nes.components.CPU6502 - 193,C1,CMP,(Indirect;X),Compare,2,6,IZX
11:29:08.270 [main] INFO  net.lomibao.nes.components.CPU6502 - 194,C2,???,???,???,1,2,IMP
11:29:08.270 [main] INFO  net.lomibao.nes.components.CPU6502 - 195,C3,???,???,???,1,8,IMP
11:29:08.270 [main] INFO  net.lomibao.nes.components.CPU6502 - 196,C4,CPY,ZeroPage,Compare Y Register,2,3,ZP0
11:29:08.270 [main] INFO  net.lomibao.nes.components.CPU6502 - 197,C5,CMP,ZeroPage,Compare,2,3,ZP0
11:29:08.271 [main] INFO  net.lomibao.nes.components.CPU6502 - 198,C6,DEC,ZeroPage,Decrement Memory,2,5,ZP0
11:29:08.271 [main] INFO  net.lomibao.nes.components.CPU6502 - 199,C7,???,???,???,1,5,IMP
11:29:08.271 [main] INFO  net.lomibao.nes.components.CPU6502 - 200,C8,INY,Implied,Increment Y Register,1,2,IMP
11:29:08.271 [main] INFO  net.lomibao.nes.components.CPU6502 - 201,C9,CMP,Immediate,Compare,2,2,IMM
11:29:08.271 [main] INFO  net.lomibao.nes.components.CPU6502 - 202,CA,DEX,Implied,Decrement X Register,1,2,IMP
11:29:08.271 [main] INFO  net.lomibao.nes.components.CPU6502 - 203,CB,???,???,???,1,2,IMP
11:29:08.272 [main] INFO  net.lomibao.nes.components.CPU6502 - 204,CC,CPY,Absolute,Compare Y Register,3,4,ABS
11:29:08.272 [main] INFO  net.lomibao.nes.components.CPU6502 - 205,CD,CMP,Absolute,Compare,3,4,ABS
11:29:08.272 [main] INFO  net.lomibao.nes.components.CPU6502 - 206,CE,DEC,Absolute,Decrement Memory,3,6,ABS
11:29:08.272 [main] INFO  net.lomibao.nes.components.CPU6502 - 207,CF,???,???,???,1,6,IMP
11:29:08.272 [main] INFO  net.lomibao.nes.components.CPU6502 - 208,D0,BNE,Relative,Branch if Not Equal,2,2,REL
11:29:08.273 [main] INFO  net.lomibao.nes.components.CPU6502 - 209,D1,CMP,(Indirect);Y,Compare,2,5,IZY
11:29:08.273 [main] INFO  net.lomibao.nes.components.CPU6502 - 210,D2,???,???,???,1,2,IMP
11:29:08.273 [main] INFO  net.lomibao.nes.components.CPU6502 - 211,D3,???,???,???,1,8,IMP
11:29:08.273 [main] INFO  net.lomibao.nes.components.CPU6502 - 212,D4,???,???,???,1,4,IMP
11:29:08.273 [main] INFO  net.lomibao.nes.components.CPU6502 - 213,D5,CMP,ZeroPage;X,Compare,2,4,ZPX
11:29:08.273 [main] INFO  net.lomibao.nes.components.CPU6502 - 214,D6,DEC,ZeroPage;X,Decrement Memory,2,6,ZPX
11:29:08.274 [main] INFO  net.lomibao.nes.components.CPU6502 - 215,D7,???,???,???,1,6,IMP
11:29:08.274 [main] INFO  net.lomibao.nes.components.CPU6502 - 216,D8,CLD,Implied,Clear Decimal Mode,1,2,IMP
11:29:08.274 [main] INFO  net.lomibao.nes.components.CPU6502 - 217,D9,CMP,Absolute;Y,Compare,3,4,ABY
11:29:08.274 [main] INFO  net.lomibao.nes.components.CPU6502 - 218,DA,NOP,???,???,1,2,IMP
11:29:08.274 [main] INFO  net.lomibao.nes.components.CPU6502 - 219,DB,???,???,???,1,7,IMP
11:29:08.274 [main] INFO  net.lomibao.nes.components.CPU6502 - 220,DC,???,???,???,1,4,IMP
